Code;Actie;Beleidsitem code;Algemene rekening;Economische sectorcode;Investeringsenveloppe;Eerste omschrijving;2014;2015;2016;2017;2018;2019
BP2014_2019-1/0.1.0.0/0030-00/0902000/BESTUUR/CBS/600/IE-GEEN/U;0.1.0.0;0030-00;902000;600;IE-GEEN;Bestemde gelden voor investeringsuitgaven;€ 0.00;;;;;
BP2014_2019-1/0.3.0.0/0030-00/0901000/BESTUUR/CBS/600/IE-GEEN/U;0.3.0.0;0030-00;901000;600;IE-GEEN;Bestemde gelden voor exploitatie-uitgaven;€ 0.00;;;;;
BP2014_2019-1/1.1.1.2/0701-00/6143007/BESTUUR/CBS/600/IE-GEEN/U;1.1.1.2;0701-00;6143007;600;IE-GEEN;Publiciteit, advertenties & info;€ 800.00;€ 800.00;€ 800.00;€ 800.00;€ 800.00;€ 800.00
BP2014_2019-1/1.1.1.3/0119-00/6143007/BESTUUR/CBS/600/IE-GEEN/U;1.1.1.3;0119-00;6143007;600;IE-GEEN;Publiciteit, advertenties & info;€ 26,000.00;€ 33,000.00;€ 33,000.00;€ 33,000.00;€ 33,000.00;€ 33,000.00
BP2014_2019-1/1.1.1.4/0119-00/6131002/BESTUUR/CBS/600/IE-GEEN/U;1.1.1.4;0119-00;6131002;600;IE-GEEN;Erelonen en vergoedingen consultancy;€ 0.00;€ 10,000.00;;;;
BP2014_2019-1/1.1.1.5/0703-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;1.1.1.5;0703-00;6159999;600;IE-GEEN;Overige exploitatiekosten;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00
BP2014_2019-1/1.1.1.5/0703-00/7010003/BESTUUR/CBS/500/IE-GEEN/O;1.1.1.5;0703-00;7010003;500;IE-GEEN;Ontvangsten pc-lessen;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/1.1.1.6/0703-00/6001000/BESTUUR/CBS/600/IE-GEEN/U;1.1.1.6;0703-00;6001000;600;IE-GEEN;Aankoop technisch materiaal;€ 2,100.00;€ 2,100.00;€ 2,100.00;€ 2,100.00;€ 2,100.00;€ 2,100.00
BP2014_2019-1/1.1.1.6/0703-00/7020999/BESTUUR/CBS/500/IE-GEEN/O;1.1.1.6;0703-00;7020999;500;IE-GEEN;Ontvangsten digitale uitleen;€ 575.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00
BP2014_2019-1/1.1.2.1/0160-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0160-00;6493000;500;IE-GEEN;Toelage Oña-jongeren;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00
BP2014_2019-1/1.1.2.1/0160-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;1.1.2.1;0160-00;6493000;800;IE-GEEN;Toelage GRIS;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00
BP2014_2019-1/1.1.2.1/0390-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0390-00;6493000;500;IE-GEEN;Toelage milieuraad;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00
BP2014_2019-1/1.1.2.1/0500-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0500-00;6493000;500;IE-GEEN;Subsidie middenstandsraad;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00
