Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Eerste omschrijving;2014;2015;2016;2017;2018;2019
BP2014_2019-2/1.1.1.2/0701-00/6143007/BESTUUR/CBS/IE-GEEN/U;1.1.1.2;0701-00;6143007;IE-GEEN;Publiciteit, advertenties & info; 643,54; 800,00; 800,00; 800,00; 800,00; 800,00
BP2014_2019-2/1.1.1.3/0119-00/6143007/BESTUUR/CBS/IE-GEEN/U;1.1.1.3;0119-00;6143007;IE-GEEN;Publiciteit, advertenties & info; 27.283,98; 25.000,00; 20.000,00; 20.000,00; 20.000,00; 20.000,00
BP2014_2019-2/1.1.1.4/0119-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.1.1.4;0119-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;; 10.000,00;;;;
BP2014_2019-2/1.1.1.5/0703-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.1.5;0703-00;6159999;IE-GEEN;Overige exploitatiekosten; 1.210,00; 1.500,00; 1.500,00; 1.500,00; 1.500,00; 1.500,00
BP2014_2019-2/1.1.1.5/0703-00/7010003/BESTUUR/CBS/IE-GEEN/O;1.1.1.5;0703-00;7010003;IE-GEEN;Toegangsgelden; 575,00; 500,00; 500,00; 500,00; 500,00; 500,00
BP2014_2019-2/1.1.1.6/0703-00/6001000/BESTUUR/CBS/IE-GEEN/U;1.1.1.6;0703-00;6001000;IE-GEEN;Aankoop technisch materiaal; 490,00; 1.500,00; 1.500,00; 1.500,00; 1.500,00; 1.500,00
BP2014_2019-2/1.1.1.6/0703-00/7020999/BESTUUR/CBS/IE-GEEN/O;1.1.1.6;0703-00;7020999;IE-GEEN;Opbrengsten uit andere prestaties; 100,00; 500,00; 100,00; 100,00; 100,00; 100,00
BP2014_2019-2/1.1.2.1/0160-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0160-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 500,00; 500,00; 500,00; 500,00; 500,00; 500,00
BP2014_2019-2/1.1.2.1/0390-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0390-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 250,00; 250,00; 250,00; 250,00; 250,00; 250,00
BP2014_2019-2/1.1.2.1/0500-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0500-00;6493000;IE-GEEN;Subsidie middenstandsraad;; 250,00; 250,00; 250,00; 250,00; 250,00
BP2014_2019-2/1.1.2.1/0520-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0520-00;6493000;IE-GEEN;"* Subsidie werkgroep ""Toerisme in Bierbeek""";; 250,00; 250,00; 250,00; 250,00; 250,00
BP2014_2019-2/1.1.2.1/0530-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0530-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 250,00; 250,00; 250,00; 250,00; 250,00; 250,00
BP2014_2019-2/1.1.2.1/0709-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0709-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 500,00; 500,00; 500,00; 500,00; 500,00; 500,00
BP2014_2019-2/1.1.2.1/0729-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0729-00;6493000;IE-GEEN;Subsidie Gemeentelijke Erfgoed Raad;; 500,00; 500,00; 500,00; 500,00; 500,00
BP2014_2019-2/1.1.2.1/0740-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0740-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 500,00; 500,00; 500,00; 500,00; 500,00; 500,00
BP2014_2019-2/1.1.2.1/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0750-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 500,00; 500,00; 500,00; 500,00; 500,00; 500,00
BP2014_2019-2/1.1.2.1/0909-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0909-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 250,00; 250,00; 250,00; 250,00; 250,00; 250,00
BP2014_2019-2/1.1.2.1/0944-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0944-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 250,00; 250,00; 250,00; 250,00; 250,00; 250,00
BP2014_2019-2/1.1.2.1/0959-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0959-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 250,00; 250,00; 250,00; 250,00; 250,00; 250,00
BP2014_2019-2/1.1.2.2/0190-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.2;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;;; 50,00; 50,00; 50,00; 50,00
BP2014_2019-2/1.1.2.3/0190-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.3;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;;; 50,00; 50,00; 50,00; 50,00
BP2014_2019-2/1.1.2.5/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.5;0160-00;6159999;IE-GEEN;Overige exploitatiekosten; 5.050,00; 11.000,00; 10.000,00; 10.000,00; 10.000,00; 10.000,00
