Code;Actie;Actie oms.;Beleidsitem code;Ontvangst/Uitgave;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Eerste omschrijving;Verantwoordelijke/dienst;2014;2015;2016;2017;2018;2019;;totaal per project;;Opmerkingen Liesbeth;;;;;;;;;;
BP2014_2019-2T/1.2.3.1/0119-00/2140007/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;U;2140007;Plannen en studies - Activa in aanbouw;IE1;studiekosten nieuw gemeentehuis;Bruno;Û 107 507,97;Û 150 000,00;Û 109 166,79;;;;;366 674,76;;;;;;;;;;;;
BP2014_2019-2T/1.2.3.1/0119-00/2210107/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;U;2210107;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE1;bouw van het nieuwe gemeentehuis;Bruno;Û 1 071 849,99;Û 3 385 915,61;Û 1 000 000,00;;;;;5 457 765,60;;;;;;;;;;;;
BP2014_2019-2T/1.2.3.1/0119-00/2240007/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;U;2240007;Wegen - Activa in aanbouw;IE1;nieuw gemeentehuis: omgevingswerken;Bruno;;Û 80 000,00;Û 87 800,00;;;;;167 800,00;;;;;;;;;;;;
BP2014_2019-2T/1.2.3.1/0119-00/2400000/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;U;2400000;Meubilair - gemeenschapsgoederen;IE1;Meubilair - gemeenschapsgoederen;Bruno;;Û 245 000,00;;;;;;245 000,00;;;;;;;;;;;;
BP2014_2019-2T/1.2.3.2/0119-00/2410000/BESTUUR/CBS/IE1/U;1.2.3.2;Uniformiseren van de ICT-infrastructuur en optimaliseren van de digitale communicatie;0119-00;U;2410000;Informaticamaterieel - gemeenschapsgoederen;IE1;aankopen IT materiaal;Kristof;Û 32 043,61;Û 206 473,34;Û 124 100,00;Û 3 000,00;Û 3 000,00;Û 3 000,00;;371 616,95;;;;;;;;;;;;
BP2014_2019-2T/2.2.2.2/0750-00/6640000/BESTUUR/CBS/IE6/U;2.2.2.2;Voorzien van subsidies voor kinderopvanginitiatieven;0750-00;U;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;Kelly;;Û 1 200,00;;;;;;1 200,00;;;;;;;;;;;;
BP2014_2019-2T/3.1.1.4/0200-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.4;Ondersteunen van de realisatie van ÔMevrouwkensveldÕ;0200-00;U;2240007;Wegen - Activa in aanbouw;IE2;Aandeel wegenis Mevrouwkesveld;Ludo;;;Û 100 000,00;;;;;100 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.1.1.4/0341-00/2140007/BESTUUR/CBS/IE2/U;3.1.1.4;Ondersteunen van de realisatie van ÔMevrouwkensveldÕ;0200-00;U;2140007;Plannen en studies - Activa in aanbouw;IE2;Studiekosten andeel wegenis Mevrouwkesveld;Ludo;Û 0,00;Û 1 500,00;Û 3 500,00;;;;;5 000,00;;;;;;;;;;;;
BP2014_2019-2T/3.1.1.5/0610-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.5;Ondersteunen van de realisatie van ÔDe WipÕ;0610-00;U;2240007;Wegen - Activa in aanbouw;IE2;Woonproject De Wip;OCMW;;;Û 0,00;;;;;0,00;;overgedragen naar budget OCMW;;;;;;;;;;
BP2014_2019-2T/3.2.1.1/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;U;2140007;Plannen en studies - Activa in aanbouw;IE3;Studiekosten en uitvoering fietsroute Leuven-Tienen;Vicky/Jan;Û 1 339,09;Û 25 000,00;Û 25 000,00;Û 23 660,91;;;;75 000,00;;;;;;;;;;;;
