Code;Actie;Actie oms.;Beleidsitem code;Ontvangst/uitgave;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Eerste omschrijving;2014;2015;2016;2017;2018;2019;;totaal per project;;;

BP2014_2019-2T/1.2.3.1/0119-00/2210100/BESTUUR/CBS/IE1/O;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;O;2210100;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;;; 1 750 000,00;;;;;  1 750 000,00 ;;;

BP2014_2019-2T/3.1.1.6/0620-00/2200000/BESTUUR/CBS/IE2/O;3.1.1.6;Ondersteunen van de realisatie van ‘Bruulverkaveling’ – 3de fase;0620-00;O;2200000;Onbebouwde terreinen - gemeenschapsgoederen;IE2;Onbebouwde terreinen - gemeenschapsgoederen;;;; 250 000,00;;;;  250 000,00 ;;;

BP2014_2019-2T/3.2.1.1/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;studie- en uitvoeringskosten fietsroute Leuven - Tienen; 0,00; 0,00; 0,00; 780 000,00;;;;  780 000,00 ;;;

BP2014_2019-2T/3.2.1.2/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.2;Aanleg van fietspaden langs de Tiensesteenweg tussen de Kerselaarlaan en de grens met Boutersem;0200-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;subsidies uitvoering fietspad Tiensesteenweg; 0,00;;;; 655 476,40; 983 214,60;;  1 638 691,00 ;;;

BP2014_2019-2T/3.2.1.3/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;; 241 883,64; 241 883,64;;;;  483 767,28 ;;;

BP2014_2019-2T/3.2.1.4/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.4;Aanleg van fietspaden langs de Lovenjoelsestraat tussen de Weterbeekstraat en de Bruulstraat;0200-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;subsidie fietspad Lovenjoelsestraat deel 1 & 2 Waversestwg; 142 128,61; 223 707,56;; 225 407,03;;;;  591 243,20 ;;;225407,028

BP2014_2019-2T/3.2.1.5/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;studiekost en uitvoering Neervelpse- en Opvelpsestraat;;;; 474 294,83; 520 114,14; 412 408,00;;  1 406 816,97 ;;;

BP2014_2019-2T/3.2.1.7/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.7;Heraanleggen van wegen;0200-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;subsidies Oude Geldenaalsebaan/water-gareelstraat; 187 000,00; 214 744,00;;;;;;  401 744,00 ;;;

BP2014_2019-2T/3.2.1.7/0310-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.7;Heraanleggen van wegen;0310-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;Overdracht krediet van 2014 naar 2015; -187 000,00; 187 000,00;;;;;;  -   ;;;

BP2014_2019-2T/3.2.1.8/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.8;Onderzoeken van de heraanleg van de Tiensesteenweg;0200-00;O;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;subsidies Tiensesteenweg; 0,00; 544 985,03;;;;;;  544 985,03 ;;;
