Code;Actie;Beleidsitem;Alg. rek.;Investeringsenveloppe;Omschrijving;Res. raming
1.1.1.2/0701-00/6143007/BESTUUR/CBS/0/IE-GEEN/U;1.1.1.2;0701-00;6143007;IE-GEEN;Publiciteit, advertenties & info;€ 250,00
1.1.1.3/0119-00/6143007/BESTUUR/CBS/0/IE-GEEN/U;1.1.1.3;0119-00;6143007;IE-GEEN;Publiciteit, advertenties & info;€ 18.500,00
1.1.1.5/0703-00/6159999/BESTUUR/CBS/0/IE-GEEN/U;1.1.1.5;0703-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 2.650,00
1.1.1.5/0703-00/7010003/BESTUUR/CBS/0/IE-GEEN/O;1.1.1.5;0703-00;7010003;IE-GEEN;Ontvangsten pc-lessen;€ 1.000,00
1.1.1.6/0703-00/6001000/BESTUUR/CBS/0/IE-GEEN/U;1.1.1.6;0703-00;6001000;IE-GEEN;Aankoop technisch materiaal;€ 1.500,00
1.1.1.6/0703-00/7020999/BESTUUR/CBS/0/IE-GEEN/O;1.1.1.6;0703-00;7020999;IE-GEEN;Ontvangsten digitale uitleen;€ 100,00
1.1.2.1/0160-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0160-00;6493000;IE-GEEN;Toelage Oña-jongeren;€ 250,00
1.1.2.1/0160-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;1.1.2.1;0160-00;6493000;IE-GEEN;Toelage GRIS;€ 250,00
1.1.2.1/0390-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0390-00;6493000;IE-GEEN;Toelage milieuraad;€ 250,00
1.1.2.1/0500-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0500-00;6493000;IE-GEEN;Subsidie middenstandsraad;€ 250,00
1.1.2.1/0520-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;0520-00;6493000;IE-GEEN;"* Subsidie werkgroep ""Toerisme in Bierbeek""";€ 250,00
