Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Omschrijving budgetboekjaar;2016;2017;2018;2019;2020;2021
BP2014_2021-3/1.1.1.2/0701-00/6143007/BESTUUR/CBS/IE-GEEN/U;1.1.1.2;0701-00;6143007;IE-GEEN;Publiciteit, advertenties & info;350;250;250;250;250;250
BP2014_2021-3/1.1.1.3/0119-00/6143007/BESTUUR/CBS/IE-GEEN/U;1.1.1.3;0119-00;6143007;IE-GEEN;Publiciteit, advertenties & info;€ 18.500,00;€ 18.000,00;€ 18.000,00;€ 18.000,00;€ 18.000,00;€ 18.000,00
BP2014_2021-3/1.1.1.4/0119-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.1.1.4;0119-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;;;;;€ 10.000,00;
BP2014_2021-3/1.1.1.5/0703-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.1.5;0703-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 2.650,00;€ 2.500,00;€ 2.500,00;€ 2.500,00;€ 2.500,00;€ 2.500,00
BP2014_2021-3/1.1.1.5/0703-00/7010003/BESTUUR/CBS/IE-GEEN/O;1.1.1.5;0703-00;7010003;IE-GEEN;Ontvangsten pc-lessen;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00
BP2014_2021-3/1.1.1.6/0703-00/6001000/BESTUUR/CBS/IE-GEEN/U;1.1.1.6;0703-00;6001000;IE-GEEN;Aankoop technisch materiaal;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 1.500,00
BP2014_2021-3/1.1.1.6/0703-00/7020999/BESTUUR/CBS/IE-GEEN/O;1.1.1.6;0703-00;7020999;IE-GEEN;Ontvangsten digitale uitleen;0;0;0;0;0;0
BP2014_2021-3/1.1.2.1/0160-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0160-00;6493000;IE-GEEN;Toelage Oña-jongeren;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0390-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0390-00;6493000;IE-GEEN;Toelage milieuraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0500-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0500-00;6493000;IE-GEEN;Subsidie middenstandsraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0520-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0520-00;6493000;IE-GEEN;"* Subsidie werkgroep ""Toerisme in Bierbeek""";250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0530-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0530-00;6493000;IE-GEEN;* Subsidie landbouwraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0709-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0709-00;6493000;IE-GEEN;* Toelage culturele raad;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0729-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0729-00;6493000;IE-GEEN;Subsidie Gemeentelijke Erfgoed Raad;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0740-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0740-00;6493000;IE-GEEN;Toelage sportraad;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0750-00;6493000;IE-GEEN;Toelage jeugdraad;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0909-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0909-00;6493000;IE-GEEN;Toelage Welzijnsraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0944-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0944-00;6493000;IE-GEEN;Toelage Lokaal Overleg Kinderopvang;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0959-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0959-00;6493000;IE-GEEN;* Toelage seniorenraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.2/0190-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.2;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;50;50;50;50;50;50
