Code;Actie;Actie oms.;Beleidsitem code;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;
BP2014_2021-3/1.2.3.1/0119-00/2210100/BESTUUR/CBS/IE1/O;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2210100;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;;;1275000;645000;;;;;;;;;;;;
BP2014_2021-3/3.1.1.6/0620-00/2200000/BESTUUR/CBS/IE2/O;3.1.1.6;Ondersteunen van de realisatie van �Bruulverkaveling� � 3de fase;0620-00;2200000;Onbebouwde terreinen - gemeenschapsgoederen;IE2;Onbebouwde terreinen - gemeenschapsgoederen;;;;250000;;;;;;;;;;;;
BP2014_2021-3/3.2.1.1/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;studie- en uitvoeringskosten fietsroute Leuven - Tienen;;;0;0;;;;;;;;;;;;
BP2014_2021-3/3.2.1.2/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.2;Aanleg van fietspaden langs de Tiensesteenweg tussen de Kerselaarlaan en de grens met Boutersem;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;subsidies uitvoering fietspad Tiensesteenweg;;;;;0;0;;;;;;;;;;
BP2014_2021-3/3.2.1.3/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;0;0;185184.69200000001;;;;;;;;;;;
BP2014_2021-3/3.2.1.4/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.4;Aanleg van fietspaden langs de Lovenjoelsestraat tussen de Weterbeekstraat en de Bruulstraat;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;subsidie fietspad Lovenjoelsestraat deel 1 & 2 Waversestwg;142128.60999999999;223707.57;;0;225407.03;;;;;;;;;;;
BP2014_2021-3/3.2.1.5/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;studiekost en uitvoering Neervelpse- en Opvelpsestraat;;;;50000;520114.14;412408;474294.83;720000;;;;;;;;
BP2014_2021-3/3.2.1.7/0310-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.7;Heraanleggen van wegen;0310-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;Overdracht krediet van 2015 naar 2016;;187000;0;214744;;;;;;;;;;;;
BP2014_2021-3/3.2.1.8/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.8;Onderzoeken van de heraanleg van de Tiensesteenweg;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;Overdracht krediet van 2015 naar 2016;;;0;544985.02;;;;;;;;;;;;
BP2014_2021-3/3.3.1.8/0680-00/1500000/BESTUUR/CBS/IE6/O;3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Uitvoering binnengebied Opvelp;;25000;0;;;;;;;;;;;;;
BP2014_2021-3/3.3.1.9/0119-00/1500000/BESTUUR/CBS/IE6/O;3.3.1.9;Herinrichten van de bovenparking van de Borre;0119-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;herinrichting bovenparking (uitvoering);;;0;50000;;;;;;;;;;;;
BP2014_2021-3/3.3.1.11/0190-00/2200000/BESTUUR/CBS/IE6/O;3.3.1.11;Verkopen van de grond Pimberg (perceel naast speelbos);0190-00;2200000;Onbebouwde terreinen - gemeenschapsgoederen;IE6;Onbebouwde terreinen - gemeenschapsgoederen;;;0;250000;;;;;;;;;;;;
BP2014_2021-3/3.3.4.1/0310-00/1500000/BESTUUR/CBS/IE6/O;3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Overdracht krediet van 2015 naar 2016;;350000;0;701629.03;876787.5;228750;;;;;;;;;;
BP2014_2021-3/3.3.4.2/0341-00/1500000/BESTUUR/CBS/IE6/O;3.3.4.2;Aanleggen van waterbufferbekkens in het kader van erosie;0341-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;0;143378.20000000001;;;;;;;;;;;44228.24;48421.760000000002
BP2014_2021-3/3.3.4.3/0341-00/1500000/BESTUUR/CBS/IE6/O;3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Overdracht krediet van 2015 naar 2016;;;0;85425;;;;;;;;;;;84335.46;
BP2014_2021-3/3.3.4.5/0310-00/1500000/BESTUUR/CBS/IE6/O;3.3.4.5;Bouwen en onderhouden van installaties voor individuele afvalwaterzuivering;0310-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;;11250;;;;;;;;;;;;;;;
BP2014_2021-3/4.3.3.1/0720-03/1500000/BESTUUR/CBS/IE6/O;4.3.3.1;Restaureren en renoveren van de pastorie van Bierbeek;0720-03;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Overdracht krediet van 2015 naar 2016;;;0;12007;;;;;;;;;;;80352;
BP2014_2021-3/4.3.3.2/0720-03/1500000/BESTUUR/CBS/IE6/O;4.3.3.2;Vernieuwen van het dak van de Sint-Hilariuskerk;0720-03;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;studiekosten en restauratie Sint Hilariuskerk;;;;;445035;148345;;;;;;;;;;
