Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Omschrijving budgetboekjaar;Bedrag (Bj+0);Bedrag (Bj+1);Bedrag (Bj+2);Bedrag (Bj+3);Bedrag (Bj+4);Bedrag (Bj+5)
BP2014_2021-3/1.1.1.2/0701-00/6143007/BESTUUR/CBS/IE-GEEN/U;1.1.1.2;0701-00;6143007;IE-GEEN;Publiciteit, advertenties & info;350;250;250;250;250;250
BP2014_2021-3/1.1.1.3/0119-00/6143007/BESTUUR/CBS/IE-GEEN/U;1.1.1.3;0119-00;6143007;IE-GEEN;Publiciteit, advertenties & info;18500;18000;18000;18000;18000;18000
BP2014_2021-3/1.1.1.4/0119-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.1.1.4;0119-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;;;;;10000;
BP2014_2021-3/1.1.1.5/0703-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.1.5;0703-00;6159999;IE-GEEN;Overige exploitatiekosten;2650;2500;2500;2500;2500;2500
BP2014_2021-3/1.1.1.5/0703-00/7010003/BESTUUR/CBS/IE-GEEN/O;1.1.1.5;0703-00;7010003;IE-GEEN;Ontvangsten pc-lessen;1000;1000;1000;1000;1000;1000
BP2014_2021-3/1.1.1.6/0703-00/6001000/BESTUUR/CBS/IE-GEEN/U;1.1.1.6;0703-00;6001000;IE-GEEN;Aankoop technisch materiaal;1500;1500;1500;1500;1500;1500
BP2014_2021-3/1.1.1.6/0703-00/7020999/BESTUUR/CBS/IE-GEEN/O;1.1.1.6;0703-00;7020999;IE-GEEN;Ontvangsten digitale uitleen;0;0;0;0;0;0
BP2014_2021-3/1.1.2.1/0160-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0160-00;6493000;IE-GEEN;Toelage Oña-jongeren;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0390-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0390-00;6493000;IE-GEEN;Toelage milieuraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0500-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0500-00;6493000;IE-GEEN;Subsidie middenstandsraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0520-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0520-00;6493000;IE-GEEN;"* Subsidie werkgroep ""Toerisme in Bierbeek""";250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0530-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0530-00;6493000;IE-GEEN;* Subsidie landbouwraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0709-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0709-00;6493000;IE-GEEN;* Toelage culturele raad;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0729-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0729-00;6493000;IE-GEEN;Subsidie Gemeentelijke Erfgoed Raad;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0740-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0740-00;6493000;IE-GEEN;Toelage sportraad;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0750-00;6493000;IE-GEEN;Toelage jeugdraad;500;500;500;500;500;500
BP2014_2021-3/1.1.2.1/0909-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0909-00;6493000;IE-GEEN;Toelage Welzijnsraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0944-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0944-00;6493000;IE-GEEN;Toelage Lokaal Overleg Kinderopvang;250;250;250;250;250;250
BP2014_2021-3/1.1.2.1/0959-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0959-00;6493000;IE-GEEN;* Toelage seniorenraad;250;250;250;250;250;250
BP2014_2021-3/1.1.2.2/0190-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.2;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;50;50;50;50;50;50
BP2014_2021-3/1.1.2.3/0190-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.3;0190-00;6159999;IE-GEEN;Overige exploitatiekosten;50;50;50;50;50;50
BP2014_2021-3/1.1.2.5/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.5;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;10000;12000;12000;12000;12000;12000
BP2014_2021-3/1.1.2.5/0800-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.2.5;0800-00;6159999;IE-GEEN;Scholenband;0;0;0;0;;
BP2014_2021-3/1.2.3.1/0119-00/2140007/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2140007;IE1;Plannen en studies - Activa in aanbouw;121124.77;13000;;;;
BP2014_2021-3/1.2.3.1/0119-00/2210100/BESTUUR/CBS/IE1/O;1.2.3.1;0119-00;2210100;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;1275000;645000;;;;
BP2014_2021-3/1.2.3.1/0119-00/2210107/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2210107;IE1;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;954209.28000000003;172734.28;;;;
BP2014_2021-3/1.2.3.1/0119-00/2240007/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2240007;IE1;Wegen - Activa in aanbouw;197800;;;;;
BP2014_2021-3/1.2.3.1/0119-00/2400000/BESTUUR/CBS/IE1/U;1.2.3.1;0119-00;2400000;IE1;Overdracht krediet van 2015 naar 2016;273000;4000;;;;
BP2014_2021-3/1.2.3.2/0119-00/2410000/BESTUUR/CBS/IE1/U;1.2.3.2;0119-00;2410000;IE1;aankopen IT materiaal;179508.71;56100;10000;63000;26000;100000
BP2014_2021-3/1.2.3.3/0600-00/6142999/BESTUUR/CBS/IE-GEEN/U;1.2.3.3;0600-00;6142999;IE-GEEN;Overige informaticakosten;0;0;0;0;;
BP2014_2021-3/1.2.3.7/0113-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.2.3.7;0113-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;8637.9500000000007;2000;2000;2000;2000;2000
BP2014_2021-3/1.2.3.7/0113-00/6141001/BESTUUR/CBS/IE-GEEN/U;1.2.3.7;0113-00;6141001;IE-GEEN;Kantoorbenodigdheden;300;300;300;300;200;200
BP2014_2021-3/1.2.3.8/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.2.3.8;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;0;0;0;0;;
BP2014_2021-3/1.2.4.1/0721-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.2.4.1;0721-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;4000;4000;4000;4000;4000;4000
BP2014_2021-3/1.2.4.2/0729-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.2.4.2;0729-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;500;500;500;500;500;500
BP2014_2021-3/1.2.4.3/0160-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.2.4.3;0160-00;6159999;IE-GEEN;Overige exploitatiekosten;10000;8000;8000;8000;8000;8000
BP2014_2021-3/1.2.5.1/0100-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0100-00;6150010;IE-GEEN;Kosten van opleiding en bijscholing;1000;1500;1500;1500;1500;1500
BP2014_2021-3/1.2.5.1/0110-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0110-00;6150010;IE-GEEN;Opleidingskosten;384;300;300;300;300;300
BP2014_2021-3/1.2.5.1/0111-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0111-00;6150010;IE-GEEN;Opleidingskosten;1300;1600;1600;1600;1600;1600
BP2014_2021-3/1.2.5.1/0112-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0112-00;6150010;IE-GEEN;Opleidingskosten;150;150;150;150;150;150
BP2014_2021-3/1.2.5.1/0119-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0119-00;6150010;IE-GEEN;Opleidingskosten;700;1000;1000;1000;1000;1000
BP2014_2021-3/1.2.5.1/0130-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0130-00;6150010;IE-GEEN;Opleidingskosten;1800;600;600;600;600;600
BP2014_2021-3/1.2.5.1/0160-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0160-00;6150010;IE-GEEN;Opleidingskosten;75;75;75;75;75;75
BP2014_2021-3/1.2.5.1/0200-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0200-00;6150010;IE-GEEN;Opleidingskosten;8800;5000;5000;5000;5000;5000
BP2014_2021-3/1.2.5.1/0309-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0309-00;6150010;IE-GEEN;Opleidingskosten;150;150;150;150;150;150
BP2014_2021-3/1.2.5.1/0390-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0390-00;6150010;IE-GEEN;Opleidingskosten;500;300;300;300;300;300
BP2014_2021-3/1.2.5.1/0520-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0520-00;6150010;IE-GEEN;Opleidingskosten;0;150;150;150;150;150
BP2014_2021-3/1.2.5.1/0600-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0600-00;6150010;IE-GEEN;Opleidingskosten;300;300;300;300;300;300
BP2014_2021-3/1.2.5.1/0680-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0680-00;6150010;IE-GEEN;Opleidingskosten;1650;1650;1650;1650;1650;1650
BP2014_2021-3/1.2.5.1/0701-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0701-00;6150010;IE-GEEN;Opleidingskosten;1500;1500;1500;1500;1500;1500
BP2014_2021-3/1.2.5.1/0703-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0703-00;6150010;IE-GEEN;Opleidingskosten;600;900;900;900;900;900
BP2014_2021-3/1.2.5.1/0740-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0740-00;6150010;IE-GEEN;Opleidingskosten;750;750;750;750;750;750
BP2014_2021-3/1.2.5.1/0750-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0750-00;6150010;IE-GEEN;Opleidingskosten;220;150;150;150;150;150
BP2014_2021-3/1.2.5.1/0800-00/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-00;6150010;IE-GEEN;Opleidingskosten;350;100;100;100;100;100
BP2014_2021-3/1.2.5.1/0800-01/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-01;6150010;IE-GEEN;Opleidingskosten;750;750;750;750;750;750
BP2014_2021-3/1.2.5.1/0800-02/6150010/BESTUUR/CBS/IE-GEEN/U;1.2.5.1;0800-02;6150010;IE-GEEN;Opleidingskosten;2000;2000;2000;2000;2000;2000
BP2014_2021-3/2.1.1.1/0900-00/6494000/BESTUUR/CBS/IE-GEEN/U;2.1.1.1;0900-00;6494000;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen;763419.32;894302.37;960377.1;982216.94;1001861.28;1021898.5
BP2014_2021-3/2.1.1.2/0909-00/6493000/BESTUUR/CBS/IE-GEEN/U;2.1.1.2;0909-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;10000;10000;10000;10000;10000;10000
BP2014_2021-3/2.1.1.3/0985-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.1.1.3;0985-00;6159999;IE-GEEN;Overige exploitatiekosten;250;350;;;;
BP2014_2021-3/2.1.2.6/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.1.2.6;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;0;0;0;0;;
BP2014_2021-3/2.1.2.6/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.1.2.6;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;2000;1000;1000;1000;1000;1000
BP2014_2021-3/2.2.1.1/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.1;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;4500;4500;4500;4500;4500;4500
BP2014_2021-3/2.2.1.1/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.1;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;0;0;0;0;;
BP2014_2021-3/2.2.1.3/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;300;800;800;800;800;800
BP2014_2021-3/2.2.1.3/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.3;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;0;0;0;0;;
BP2014_2021-3/2.2.1.4/0959-00/6159999/BESTUUR/CBS/IE-GEEN/U;2.2.1.4;0959-00;6159999;IE-GEEN;Overige exploitatiekosten;552;500;250;250;250;250
BP2014_2021-3/2.2.1.7/0703-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.1.7;0703-00;6139999;IE-GEEN;PWA POB;9000;9000;9000;9000;9000;9000
BP2014_2021-3/2.2.2.1/0750-00/6131002/BESTUUR/CBS/IE-GEEN/U;2.2.2.1;0750-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;1000;1000;;;;
BP2014_2021-3/2.2.2.2/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;2.2.2.2;0750-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen;15065;14000;14000;14000;14000;14000
BP2014_2021-3/2.2.2.2/0750-00/6640000/BESTUUR/CBS/IE6/U;2.2.2.2;0750-00;6640000;IE6;Overdracht krediet van 2015 naar 2016;0;;;;;
BP2014_2021-3/2.2.2.3/0740-00/6139999/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;3000;3000;3000;3000;3000;3000
BP2014_2021-3/2.2.2.3/0740-00/6150200/BESTUUR/CBS/IE-GEEN/U;2.2.2.3;0740-00;6150200;IE-GEEN;Huur technisch materieel;2000;2000;2000;2000;2000;2000
