Actie;Actie omschrijving;Beleidsitem;Beleidsitem omschrijving;Ontvangst/uitgave;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Krediet 2016;Rekening 2015;Vorderingstaten 2016 tot nu;Nog te innen;Verschil 2016 - (2015);Verschil % 2016-2015;;Bijkomend BW 1-2016;Krediet na BW 1-2016;Opmerkingen;invloed MJP
1.1.1.5;Organiseren van jaarlijkse PC-lessen;0703-00;Openbare bibliotheken;O;7010003;Toegangsgelden;IE-GEEN; € 500,00 ; € 500,00 ; € 640,00 ; € -140,00 ;140;28,00 %;; € 500,00 ; € 1.000,00 ;meerinkomsten nav bijkomende lessenreeks;
1.1.1.6;Opvolgen van digitale ontwikkelingen en uitbouw van de digitale uitleen voor de bibliotheek;0703-00;Openbare bibliotheken;O;7020999;Opbrengsten uit andere prestaties;IE-GEEN; € 100,00 ; € 30,00 ; € -   ; € 100,00 ;-30;-100,00 %;;;;;
1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;Overige algemene diensten;O;2210100;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;IE1; € 1.750.000,00 ; € -   ; € -   ; € 1.750.000,00 ;0;-;;;;;
1.2.5.1;Stimuleren van vorming en opleiding;0800-00;Gewoon basisonderwijs;O;7405999;Overige werkingstoelage aangaande personeelsaangelegenheden;IE-GEEN; € -   ; € 75,00 ; € -   ; € -   ;-75;-100,00 %;;;;;
2.2.2.4;Organiseren van een sport- en cultuurdag voor jonge gezinnen;0701-00;Cultuurcentrum;O;7010003;Toegangsgelden;IE-GEEN; € -   ; € -   ; € 1.918,00 ; € -1.918,00 ;1918;-;; € 1.918,00 ; € 1.918,00 ;afrekening Qukeleku 2015;idem
2.2.2.6;Jaarlijks organiseren van diverse sportkampen voor schoolgaande jeugd;0740-00;Sport;O;7005002;Opbrengsten uit bar/cafetaria;IE-GEEN; € 800,00 ; € 920,40 ; € -   ; € 800,00 ;-920,4;-100,00 %;;;;;
2.2.2.7;Organiseren van kampen tijdens de vakantieperiodes;0750-00;Jeugd;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € 1.000,00 ; € 791,86 ; € 1.000,00 ; € -   ;208,14;26,28 %;;;;;
2.2.2.8;Organiseren van activiteiten voor kinderen en jongeren, met aandacht voor jeugdcultuur;0750-00;Jeugd;O;7010002;Inschrijvingsgelden;IE-GEEN; € -   ; € 1.605,40 ; € -   ; € -   ;-1605,4;-100,00 %;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;O;7005002;Opbrengsten uit bar/cafetaria;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
2.2.3.6;Aandacht hebben voor gemeenschapsvorming binnen het lokaal cultuurbeleid;0701-00;Cultuurcentrum;O;7010002;Inschrijvingsgelden;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
