Actie;Actie omschrijving;Beleidsitem;Beleidsitem omschrijving;ontvangst/uitgave;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Krediet 2016;Rekening 2015;Aangerekend 2016 tot nu;Nog beschikbaar;Verschil AR 2016-AR2015;Verschil % AR 2016-AR2015;;Bijkomend BW 1-2016;Krediet na BW 1-2016;Opmerkingen;invloed MJP
1.1.1.2;Actief communiceren via website, digitale nieuwsbrieven, sociale media en blogs;0701-00;Cultuurcentrum;U;6143007;Publiciteit, advertenties & info;IE-GEEN;250;379,77;188,59;61,41;-191,18;-50,34 %;;;;;
1.1.1.3;Optimaliseren van het gemeentelijk infoblad;0119-00;Overige algemene diensten;U;6143007;Publiciteit, advertenties & info;IE-GEEN;20000;16001,77;9467,52;10532,48;-6534,25;-40,83 %;;-1500;18500;vaststelling nav rekening 2015;bekijken BW2
1.1.1.4;Ontwikkelen van een nieuwe huisstijl na verhuis naar het nieuw gemeentehuis;0119-00;Overige algemene diensten;U;6131002;Erelonen en vergoedingen consultancy;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
1.1.1.5;Organiseren van jaarlijkse PC-lessen;0703-00;Openbare bibliotheken;U;6159999;Overige exploitatiekosten;IE-GEEN;1500;1462,92;1756,31;-256,31;293,39;20,06 %;;1150;2650;bijkomend 5 lessen 'haal meer uit je tablet' tijdens de digitale week;
1.1.1.6;Opvolgen van digitale ontwikkelingen en uitbouw van de digitale uitleen voor de bibliotheek;0703-00;Openbare bibliotheken;U;6001000;Aankoop technisch materiaal;IE-GEEN;1500;1076,9;278,25;1221,75;-798,65;-74,16 %;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0160-00;Hulp aan het buitenland;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;500;500;-   ;500;-500;-100,00 %;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0390-00;Overige milieubescherming;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;250;-   ;-   ;250;-   ;-;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0500-00;Handel en middenstand;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;250;-   ;-   ;250;-   ;-;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0520-00;Toerisme - Onthaal en promotie;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;250;-   ;-   ;250;-   ;-;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0530-00;Land-, tuin- & bosbouw;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;250;250;250;-   ;-   ;0,00 %;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0709-00;Overige culturele instellingen;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;500;500;500;-   ;-   ;0,00 %;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0729-00;Overig beleid inzake het erfgoed;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;500;500;-   ;500;-500;-100,00 %;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0740-00;Sport;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;500;500;-   ;500;-500;-100,00 %;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0750-00;Jeugd;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;500;500;-   ;500;-500;-100,00 %;;;;;
1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0909-00;Overige verrichtingen inzake sociaal beleid;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;250;250;-   ;250;-250;-100,00 %;;;;;
