Code;Actie;Actie omschrijving;Beleidsitem code;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;TOTAAL;;;;;;;;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2201000/BESTUUR/CBS/IE1/O;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2201000;Terreinen van gebouwen - gemeenschapsgoederen;IE1;Overdracht krediet van 2017 naar 2018;;;157275.37;;0;;;;;;;157275.37;;;;;;;;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2210100/BESTUUR/CBS/IE1/O;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2210100;Gebouwen - administratieve gebouwen - gemeenschapsgoederen;IE1;Overdracht krediet van 2017 naar 2018;;;688035.29;;0;;;;;;;688035.29;;;;;;;;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2210200/BESTUUR/CBS/IE1/O;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2210200;Gebouwen - schoolgebouwen - gemeenschapsgoederen;IE1;Overdracht krediet van 2017 naar 2018;;;131408.46;;0;;;;;;;131408.46;;;;;;;;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2600000/BESTUUR/CBS/IE1/O;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2600000;Terreinen - overige MVA;IE1;Overdracht krediet van 2017 naar 2018;;;99426.96;;0;;;;;;;99426.96;;;;;;;;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2601000/BESTUUR/CBS/IE1/O;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2601000;Terreinen van gebouwen - overige MVA;IE1;Overdracht krediet van 2017 naar 2018;;;;142441.85999999999;0;;;;;;;142441.85999999999;;;;;;;;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2610000/BESTUUR/CBS/IE1/O;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2610000;Gebouwen - overige MVA;IE1;Overdracht krediet van 2017 naar 2018;;;198853.92;470058.14;0;;;;;;;668912.06000000006;;;;;;;;;;;;;
BP2014_2023-5./3.1.1.6/0620-00/2200000/BESTUUR/CBS/IE2/O;3.1.1.6;Ondersteunen van de realisatie van â˜Bruulverkavelingâ™ â“ 3de fase;0620-00;2200000;Onbebouwde terreinen - gemeenschapsgoederen;IE2;Onbebouwde terreinen - gemeenschapsgoederen;;;;;;0;300000;;;;;300000;;;;;;;;;;;;;
BP2014_2023-5./3.2.1.2/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.2;Aanleg van fietspaden langs de Tiensesteenweg tussen de Kerselaarlaan en de grens met Boutersem;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;;0;;2221560;;;;2221560;;;;;;;;;;;;;
BP2014_2023-5./3.2.1.3/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;0;128905.29000000001;128905.29000000001;;;;;257810.58000000002;;257810.57389999999;128905.28694999999;-3.0500000138999894E-3;;;;;;;;;
BP2014_2023-5./3.2.1.4/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.4;Aanleg van fietspaden langs de Lovenjoelsestraat tussen de Weterbeekstraat en de Bruulstraat;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;subsidie fietspad Lovenjoelsestraat deel 1 & 2 Waversestwg;142128.60999999999;223707.57;;;0;43784.09;43784.09;;;;;453404.36;;87568.184000000008;;;;2019;2020;2021;;;;;
BP2014_2023-5./3.2.1.5/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;studiekost en uitvoering Neervelpse- en Opvelpsestraat;;;;250816.28;0;589784.61;1131083.32;842114.99;;;;2813799.2;;515611.58400000003;577936.65599999996;288968.32799999998;;589784.61;546774.12;257805.79;;1460773;1168618.4000000001;584309.20000000007;184309.20000000007
BP2014_2023-5./3.2.1.7/0310-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.7;Heraanleggen van wegen;0310-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;Overdracht krediet van 2015 naar 2016;;187000;;;218672;;;;;;;405672;;257805.79200000002;;;;;;;;;;;
BP2014_2023-5./3.2.1.8/0200-00/1500000/BESTUUR/CBS/IE3/O;3.2.1.8;Onderzoeken van de heraanleg van de Tiensesteenweg;0200-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE3;Overdracht krediet van 2015 naar 2016;;;;;0;544985.02;;;;;;544985.02;;;;;;;;;;;;;
BP2014_2023-5./3.3.1.8/0680-00/1500000/BESTUUR/CBS/IE6/O;3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;25000;15000;;;;;;;;;40000;;;;;;;;;;;;;
BP2014_2023-5./3.3.1.9/0119-00/1500000/BESTUUR/CBS/IE6/O;3.3.1.9;Herinrichten van de bovenparking van de Borre;0119-00;1500000;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;;;;75000;;;;;;75000;;;;;;;;;;;;;
BP2014_2023-5./3.3.1.11/0190-00/2200000/BESTUUR/CBS/IE6/O;3.3.1.11;Verkopen van de grond Pimberg (perceel naast speelbos);0190-00;2200000;Onbebouwde terreinen - gemeenschapsgoederen;IE6;Onbebouwde terreinen - gemeenschapsgoederen;;;;;0;350000;;;;;;350000;;;;;;;;;;;;;
