Code;Actie;Actie omschrijving;Beleidsitem code;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;totaal per project;;;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2140007/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2140007;Plannen en studies - Activa in aanbouw;IE1;Plannen en studies - Activa in aanbouw;107507.97;88042.02;111892.66;10614.86;0;15039.95;;;;;;333097.46000000002;;;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2210107/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2210107;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE1;Overdracht krediet van 2017 naar 2018;1071849.99;3233972.05;954209.28000000003;18327.59;141083.99;;;;;;;5419442.9000000004;;141083.99;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2240007/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2240007;Wegen - Activa in aanbouw;IE1;Wegen - Activa in aanbouw;;;155513.99;30645.33;;;;;;;;186159.32;;;;;;;;
BP2014_2023-5./1.2.3.1/0119-00/2400000/BESTUUR/CBS/IE1/U;1.2.3.1;In gebruik nemen van het nieuw gemeentehuis;0119-00;2400000;Meubilair - gemeenschapsgoederen;IE1;Overdracht krediet van 2015 naar 2016;;;236673.76;11919.37;400;12000;;;;;;260993.13;;;;;;;;
BP2014_2023-5./1.2.3.2/0119-00/2410000/BESTUUR/CBS/IE1/U;1.2.3.2;Uniformiseren van de ICT-infrastructuur en optimaliseren van de digitale communicatie;0119-00;2410000;Informaticamaterieel - gemeenschapsgoederen;IE1;aankopen IT materiaal;32043.61;97464.63;149816.63;1512.5;25000;86000;40000;120000;10000;10000;;571837.37;;;;;;;;
BP2014_2023-5./3.1.1.4/0200-00/2140007/BESTUUR/CBS/IE2/U;3.1.1.4;Ondersteunen van de realisatie van â˜Mevrouwkensveldâ™;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE2;Overdracht krediet van 2017 naar 2018;;947.81;710.86;-333.15;1717.5;1956.98;;;;;;5000;;;;;;;;
BP2014_2023-5./3.1.1.4/0200-00/2240007/BESTUUR/CBS/IE2/U;3.1.1.4;Ondersteunen van de realisatie van â˜Mevrouwkensveldâ™;0200-00;2240007;Wegen - Activa in aanbouw;IE2;Aandeel wegenis Mevrouwkesveld;;;;;0;84000;;;;;;84000;;;;;;;;
BP2014_2023-5./3.1.1.6/0620-00/2200000/BESTUUR/CBS/IE2/U;3.1.1.6;Ondersteunen van de realisatie van â˜Bruulverkavelingâ™ â“ 3de fase;0620-00;2200000;Onbebouwde terreinen - gemeenschapsgoederen;IE2;Onbebouwde terreinen - gemeenschapsgoederen;;;;;26500;;;;;;;26500;;;;;;;;
BP2014_2023-5./3.2.1.1/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE3;Plannen en studies - Activa in aanbouw;1339.09;21870.81;18797.16;;;;;;;;;42007.06;;;;;;;;
BP2014_2023-5./3.2.1.1/0200-00/2240000/BESTUUR/CBS/IE3/U;3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;2240000;Wegen;IE3;Wegen;;;;;;;100000;0;;;;100000;;;;;;;;
BP2014_2023-5./3.2.1.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.1;Aanleggen van een hoofdfietsroute Leuven-Tienen, aandeel Bierbeek;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Wegen - Activa in aanbouw;;;;;;;0;31534.6;;;;31534.6;;;;;;;;
BP2014_2023-5./3.2.1.2/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.2;Aanleg van fietspaden langs de Tiensesteenweg tussen de Kerselaarlaan en de grens met Boutersem;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Uitvoering fietspad Tiensesteenweg;;;;;0;0;2776950;;;;;2776950;;;;;;;;
BP2014_2023-5./3.2.1.3/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE3;Plannen en studies - Activa in aanbouw;2881.41;17277.36;6202.4;4877.28;19999.999999999996;28999.02;;;;;;80237.47;;;;;;;;
BP2014_2023-5./3.2.1.3/0200-00/2200100/BESTUUR/CBS/IE3/U;3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;2200100;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;IE3;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;;;;;0;206654.42;;;;;;206654.42;;;;;;;;
BP2014_2023-5./3.2.1.3/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Uitvoering fietspad Pellenberg;;;;;-3.3333333267364651E-3;351631.45;;;;;;351631.44666666666;;;;;;;;
BP2014_2023-5./3.2.1.4/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.4;Aanleg van fietspaden langs de Lovenjoelsestraat tussen de Weterbeekstraat en de Bruulstraat;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Uitvoering weg en fietspad Lovenjoelsestraat;;;;;0;364867.43;182433.72;;;;;547301.15;;;;;;;;
BP2014_2023-5./3.2.1.5/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE3;Studiekosten diverse fietspaden;10030;22267.67;15450.93;29036.67;30844.490000000005;50000;50000;70000;;;;277629.76;;;;;;;;
BP2014_2023-5./3.2.1.5/0200-00/2200100/BESTUUR/CBS/IE3/U;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;2200100;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;IE3;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;;;;;3000;28180;;;;;;31180;;;;;;;;
BP2014_2023-5./3.2.1.5/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;2240007;Wegen - Activa in aanbouw;IE3;uitvoering fietspaden Opvelpse- en Neervelpsestraat;;;;168775.02;499056.005;824707.45;1669950.6600000001;;;;;3162489.1350000002;;;;;;;;
BP2014_2023-5./3.2.1.7/0200-00/2140007/BESTUUR/CBS/IE3/U;3.2.1.7;Heraanleggen van wegen;0200-00;2140007;Plannen en studies - Activa in aanbouw;IE3;studiekosten wegenwerken;;;;8043.41;16956.589999999997;30000;;;;;;55000;;;;;;;;
BP2014_2023-5./3.2.1.7/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.7;Heraanleggen van wegen;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Heraanleg diverse wegen;42284.93;352871.72;272805.77;0;105906.54999999987;1606233.3539999998;771664.98400000005;200000;200000;200000;;3751767.3079999997;;Holleweg 2019 nog update te ontvangen;;;;;;
BP2014_2023-5./3.2.1.10/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.1.10;Inventariseren, opmaken en uitvoeren van een onderhoudsplan voor wegen en paden;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Onderhoud wegen;48985.2;96136.84;115507.44;308240.09000000003;72135.06;130000;130000;130000;130000;130000;;1291004.6300000001;;te bekijken met Jan;;;;;;
BP2014_2023-5./3.2.1.14/0290-00/2250000/BESTUUR/CBS/IE3/U;3.2.1.14;Optimaliseren van de schoolomgevingen;0290-00;2250000;Overige infrastructuur betreffende de wegen;IE3;Overige infrastructuur betreffende de wegen;;;;5735.4;55250.42;;;;;;;60985.82;;;;;;;;
BP2014_2023-5./3.2.2.1/0200-00/2240007/BESTUUR/CBS/IE3/U;3.2.2.1;Opmaken en uitvoeren van een actieplan Trage Wegen;0200-00;2240007;Wegen - Activa in aanbouw;IE3;Wegen - Activa in aanbouw;;;;;0;38000;;;;;;38000;;;;;;;;
